A2 36
A1 2
78 23
A4 18
A3 24
77 41
A6 69
A5 66
A8 44
A7 6
A9 1
43 14
42 59
41 22
40 20
82 64
83 76
80 74
81 32
84 77
A0 33
67 61
66 10
2A 39
22 35
23 26
24 65
25 17
6C 70
26 16
27 31
6E 58
28 3
6D 38
29 48
6F 51
AC 42
AA 47
AB 8
AE 54
AF 21
2C 46
70 19
2B 34
2E 57
71 7
2D 60
72 27
73 49
2F 62
74 11
75 68
76 45
19 55
55 63
15 50
16 28
13 12
21 4
BF 29
20 5
BB 25
64 56
62 52
61 13
98 75
97 71
96 53
95 72
45 9
94 40
93 73
44 67
92 78
46 43
10 37
53 30
50 15
