1 2 3 1.0
2 2 1 1.00012207031
3 2 4 2.0
4 2 5 3.0
5 2 6 4.0
6 2 11 4.00012207031
7 2 17 5.00012207031
8 2 10 5.00012207031
9 2 12 5.00012207031
10 2 9 6.00012207031
11 2 18 6.00012207031
12 2 23 6.00012207031
13 2 16 6.00012207031
14 3 2 1.0
15 3 4 1.0
16 3 5 2.0
17 3 1 2.0001220703099998
18 3 6 3.0
19 3 11 3.0001220703099998
20 3 17 4.00012207031
21 3 10 4.00012207031
22 3 12 4.00012207031
23 3 9 5.00012207031
24 3 18 5.00012207031
25 3 23 5.00012207031
26 3 16 5.00012207031
27 3 22 6.00012207031
28 3 24 6.00012207031
29 3 8 6.00012207031
30 3 29 6.00012207031
31 3 15 6.00012207031
32 4 5 1.0
33 4 3 1.0
34 4 6 2.0
35 4 2 2.0
36 4 11 2.0001220703099998
37 4 1 3.0001220703099998
38 4 17 3.0001220703099998
39 4 10 3.0001220703099998
40 4 12 3.0001220703099998
41 4 18 4.00012207031
42 4 9 4.00012207031
43 4 23 4.00012207031
44 4 16 4.00012207031
45 4 22 5.00012207031
46 4 24 5.00012207031
47 4 8 5.00012207031
48 4 29 5.00012207031
49 4 15 5.00012207031
50 4 21 6.00012207031
51 4 35 6.00012207031
52 4 14 6.00012207031
53 4 28 6.00012207031
54 4 30 6.00012207031
55 4 7 6.0002441406199996
56 5 6 1.0
57 5 4 1.0
58 5 11 1.00012207031
59 5 3 2.0
60 5 10 2.0001220703099998
61 5 12 2.0001220703099998
62 5 17 2.0001220703099998
63 5 2 3.0
64 5 9 3.0001220703099998
65 5 18 3.0001220703099998
66 5 23 3.0001220703099998
67 5 16 3.0001220703099998
68 5 1 4.00012207031
69 5 22 4.00012207031
70 5 24 4.00012207031
71 5 8 4.00012207031
72 5 29 4.00012207031
73 5 15 4.00012207031
74 5 21 5.00012207031
75 5 35 5.00012207031
76 5 14 5.00012207031
77 5 28 5.00012207031
78 5 30 5.00012207031
79 5 7 5.0002441406199996
80 5 34 6.00012207031
81 5 36 6.00012207031
82 5 41 6.00012207031
83 5 20 6.00012207031
84 5 27 6.00012207031
85 5 13 6.0002441406199996
86 6 5 1.0
87 6 12 1.00012207031
88 6 4 2.0
89 6 11 2.0001220703099998
90 6 18 2.0001220703099998
91 6 3 3.0
92 6 10 3.0001220703099998
93 6 24 3.0001220703099998
94 6 17 3.0001220703099998
95 6 2 4.0
96 6 9 4.00012207031
97 6 23 4.00012207031
98 6 30 4.00012207031
99 6 16 4.00012207031
100 6 22 5.00012207031
101 6 36 5.00012207031
102 6 1 5.00012207031
103 6 29 5.00012207031
104 6 8 5.00012207031
105 6 15 5.00012207031
106 6 35 6.00012207031
107 6 21 6.00012207031
108 6 42 6.00012207031
109 6 28 6.00012207031
110 6 14 6.00012207031
111 6 7 6.0002441406199996
112 7 1 1.00012207031
113 8 7 1.00012207031
114 8 2 1.00012207031
115 8 3 2.0001220703099998
116 8 1 2.00024414062
117 8 4 3.0001220703099998
118 8 5 4.00012207031
119 8 6 5.00012207031
120 8 11 5.0002441406199996
121 8 17 6.0002441406199996
122 8 10 6.0002441406199996
123 8 12 6.0002441406199996
124 9 8 1.0
125 9 3 1.00012207031
126 9 2 2.0001220703099998
127 9 4 2.0001220703099998
128 9 7 2.0001220703099998
129 9 5 3.0001220703099998
130 9 1 3.0002441406199996
131 9 6 4.00012207031
132 9 11 4.0002441406199996
133 9 17 5.0002441406199996
134 9 10 5.0002441406199996
135 9 12 5.0002441406199996
136 9 18 6.0002441406199996
137 9 23 6.0002441406199996
138 9 16 6.0002441406199996
139 10 9 1.0
140 10 11 1.0
141 10 4 1.00012207031
142 10 17 2.0
143 10 12 2.0
144 10 8 2.0
145 10 5 2.0001220703099998
146 10 3 2.0001220703099998
147 10 18 3.0
148 10 23 3.0
149 10 16 3.0
150 10 6 3.0001220703099998
151 10 2 3.0001220703099998
152 10 7 3.0001220703099998
153 10 22 4.0
154 10 24 4.0
155 10 29 4.0
156 10 15 4.0
157 10 1 4.0002441406199996
158 10 35 5.0
159 10 21 5.0
160 10 14 5.0
161 10 28 5.0
162 10 30 5.0
163 10 36 6.0
164 10 34 6.0
165 10 20 6.0
166 10 41 6.0
167 10 27 6.0
168 10 13 6.00012207031
169 11 17 1.0
170 11 10 1.0
171 11 12 1.0
172 11 5 1.00012207031
173 11 18 2.0
174 11 9 2.0
175 11 23 2.0
176 11 16 2.0
177 11 6 2.0001220703099998
178 11 4 2.0001220703099998
179 11 22 3.0
180 11 24 3.0
181 11 29 3.0
182 11 8 3.0
183 11 15 3.0
